PL_Index,LP_Index,Pivot_Energy,PLEC_Flux_Density,LP_Flux_Density,PL_Flux_Density,Frac_Variability,Variability_Index,Npred,LP_beta,LP_SigCurv,Energy_Flux100,PLEC_SigCurv,Flux1000,Signif_Avg,PLEC_Exp_Index,Source_Name,ASSOC_FGL,CLASS1,ASSOC1
2.1473312,2.0778763,3071.779,7.735341e-15,7.460176e-15,6.932876e-15,0.0,9.716187,141.9399,0.054230064,0.19498658,7.523545e-13,0.0,6.6943166e-11,3.57752,0.6666667,4FGL J0025.2-2231,,fsrq,PMN J0025-2228
2.258797,2.0337107,1455.0996,1.6329292e-13,1.6374066e-13,1.4414583e-13,1.2532092,100.15197,478.55136,0.18104352,2.2919097,2.1674906e-12,2.8424544,2.9442077e-10,13.455969,0.6666667,4FGL J0025.7-4801,,bcu,SUMSS J002545-480356
1.9971744,2.0115194,2604.0557,3.2768245e-14,3.1556765e-14,3.2323343e-14,0.3896722,22.26658,409.98453,-0.012548798,0.0,2.4269538e-12,0.0,2.1703353e-10,13.241903,0.6666667,4FGL J0026.6-4600,3FGL J0026.7-4603,bll,1RXS J002636.3-460101
2.219081,1.9541454,2231.3215,8.654653e-14,8.9247294e-14,7.194935e-14,0.0,10.037167,529.52277,0.23844832,3.0871284,2.5408547e-12,3.266081,3.8298367e-10,12.069453,0.6666667,4FGL J0028.1+7505,3FGL J0028.6+7507,bcu,GB6 J0028+7506
2.2192743,2.095452,635.79504,1.462241e-11,1.5294375e-11,1.3813821e-11,1.6535703,7178.108,8005.4023,0.1006385,9.753913,4.1030332e-11,9.369154,4.3745914e-09,89.21285,0.6666667,4FGL J0028.5+2001,3FGL J0028.8+1951,fsrq,TXS 0025+197
2.110465,2.0167496,3903.0642,5.5132443e-15,5.069518e-15,4.9896665e-15,0.26373813,18.783464,136.7406,0.062022932,0.18928404,8.8199765e-13,0.0,7.910156e-11,4.079314,0.6666667,4FGL J0028.8-0112,,bll,PKS 0026-014
2.183843,2.1489701,1897.7698,8.598422e-14,8.402919e-14,7.9985335e-14,0.27852362,17.87329,627.10596,0.03246064,0.57575524,3.1012426e-12,0.8396997,2.7264632e-10,11.369533,0.6666667,4FGL J0028.9+3553,,bll,GB6 J0028+3550
2.3062565,2.2782454,1398.9402,2.507363e-13,2.4648244e-13,2.3700944e-13,0.4917453,63.630413,1185.3091,0.033178877,0.85544205,4.7870566e-12,1.5268289,3.9269898e-10,19.135262,0.6666667,4FGL J0029.0-7044,3FGL J0029.1-7045,bll,PKS 0026-710
1.7775818,1.592214,6425.8906,6.086702e-15,6.174412e-15,3.9887688e-15,0.6132988,21.767937,79.85507,0.32518893,3.1316602,1.3792601e-12,3.141921,1.2539633e-10,9.746155,0.6666667,4FGL J0029.4+2051,,bcu,NVSS J002928+205332
2.1695535,2.1303358,2622.5342,1.6167697e-14,1.6025613e-14,1.4378842e-14,0.34903395,19.28452,189.70998,0.06937565,0.6608975,1.1218512e-12,0.0,9.914142e-11,5.1196513,0.6666667,4FGL J0030.2+0001,,bll,NVSS J003007-000008
